STATE,YEAR,ELEMENT,STATE_LEVEL3,STATE_LEVEL2,STATE_LEVEL1,PRICE TYPE,BASE PERIOD,UNIT,VALUE in ACTUALS,ABSOLUTE CHANGE in ACTUALS,ABSOLUTE CHANGE FROM A YEAR AGO in ACTUALS,% CHANGE,% CHANGE FROM A YEAR AGO,v_2013,v_2024,n_years,CAGR(%),perc_change_2013_2024
Puducherry,2013,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),NA,All India,Union Territories,Current Price,Base Year : 2011-12,Indian rupee,130548,10899,10899,9.11,9.11,130548,262166,11,6.543713906,100.8196219
Puducherry,2014,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),NA,All India,Union Territories,Current Price,Base Year : 2011-12,Indian rupee,148147,17599,17599,13.48,13.48,130548,262166,11,6.543713906,100.8196219
Puducherry,2015,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),NA,All India,Union Territories,Current Price,Base Year : 2011-12,Indian rupee,146921,-1226,-1226,-0.83,-0.83,130548,262166,11,6.543713906,100.8196219
Puducherry,2016,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),NA,All India,Union Territories,Current Price,Base Year : 2011-12,Indian rupee,172727,25806,25806,17.56,17.56,130548,262166,11,6.543713906,100.8196219
Puducherry,2017,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),NA,All India,Union Territories,Current Price,Base Year : 2011-12,Indian rupee,187356,14629,14629,8.47,8.47,130548,262166,11,6.543713906,100.8196219
Puducherry,2018,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),NA,All India,Union Territories,Current Price,Base Year : 2011-12,Indian rupee,198358,11002,11002,5.87,5.87,130548,262166,11,6.543713906,100.8196219
Puducherry,2019,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),NA,All India,Union Territories,Current Price,Base Year : 2011-12,Indian rupee,204140,5782,5782,2.91,2.91,130548,262166,11,6.543713906,100.8196219
Puducherry,2020,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),NA,All India,Union Territories,Current Price,Base Year : 2011-12,Indian rupee,217937,13797,13797,6.76,6.76,130548,262166,11,6.543713906,100.8196219
Puducherry,2021,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),NA,All India,Union Territories,Current Price,Base Year : 2011-12,Indian rupee,208862,-9075,-9075,-4.16,-4.16,130548,262166,11,6.543713906,100.8196219
Puducherry,2022,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),NA,All India,Union Territories,Current Price,Base Year : 2011-12,Indian rupee,231557,22695,22695,10.87,10.87,130548,262166,11,6.543713906,100.8196219
Puducherry,2023,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),NA,All India,Union Territories,Current Price,Base Year : 2011-12,Indian rupee,245180,13623,13623,5.88,5.88,130548,262166,11,6.543713906,100.8196219
Puducherry,2024,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),NA,All India,Union Territories,Current Price,Base Year : 2011-12,Indian rupee,262166,16986,16986,6.93,6.93,130548,262166,11,6.543713906,100.8196219
Punjab,2013,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,Northern Region,Current Price,Base Year : 2011-12,Indian rupee,94318,8741,8741,10.21,10.21,94318,196505,11,6.900542978,108.3430522
Punjab,2014,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,Northern Region,Current Price,Base Year : 2011-12,Indian rupee,103831,9513,9513,10.09,10.09,94318,196505,11,6.900542978,108.3430522
Punjab,2015,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,Northern Region,Current Price,Base Year : 2011-12,Indian rupee,108970,5139,5139,4.95,4.95,94318,196505,11,6.900542978,108.3430522
Punjab,2016,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,Northern Region,Current Price,Base Year : 2011-12,Indian rupee,118858,9888,9888,9.07,9.07,94318,196505,11,6.900542978,108.3430522
Punjab,2017,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,Northern Region,Current Price,Base Year : 2011-12,Indian rupee,128780,9922,9922,8.35,8.35,94318,196505,11,6.900542978,108.3430522
Punjab,2018,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,Northern Region,Current Price,Base Year : 2011-12,Indian rupee,139835,11055,11055,8.58,8.58,94318,196505,11,6.900542978,108.3430522
Punjab,2019,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,Northern Region,Current Price,Base Year : 2011-12,Indian rupee,149974,10139,10139,7.25,7.25,94318,196505,11,6.900542978,108.3430522
Punjab,2020,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,Northern Region,Current Price,Base Year : 2011-12,Indian rupee,154385,4411,4411,2.94,2.94,94318,196505,11,6.900542978,108.3430522
Punjab,2021,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,Northern Region,Current Price,Base Year : 2011-12,Indian rupee,150620,-3765,-3765,-2.44,-2.44,94318,196505,11,6.900542978,108.3430522
Punjab,2022,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,Northern Region,Current Price,Base Year : 2011-12,Indian rupee,170276,19656,19656,13.05,13.05,94318,196505,11,6.900542978,108.3430522
Punjab,2023,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,Northern Region,Current Price,Base Year : 2011-12,Indian rupee,181678,11402,11402,6.7,6.7,94318,196505,11,6.900542978,108.3430522
Punjab,2024,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,Northern Region,Current Price,Base Year : 2011-12,Indian rupee,196505,14827,14827,8.16,8.16,94318,196505,11,6.900542978,108.3430522
Goa,2013,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,Western Region,Current Price,Base Year : 2011-12,Indian rupee,234354,-25090,-25090,-9.67,-9.67,234354,492648,11,6.987520609,110.2153153
Goa,2014,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,Western Region,Current Price,Base Year : 2011-12,Indian rupee,215776,-18578,-18578,-7.93,-7.93,234354,492648,11,6.987520609,110.2153153
Goa,2015,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,Western Region,Current Price,Base Year : 2011-12,Indian rupee,289185,73409,73409,34.02,34.02,234354,492648,11,6.987520609,110.2153153
Goa,2016,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,Western Region,Current Price,Base Year : 2011-12,Indian rupee,334576,45391,45391,15.7,15.7,234354,492648,11,6.987520609,110.2153153
Goa,2017,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,Western Region,Current Price,Base Year : 2011-12,Indian rupee,378953,44377,44377,13.26,13.26,234354,492648,11,6.987520609,110.2153153
Goa,2018,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,Western Region,Current Price,Base Year : 2011-12,Indian rupee,411740,32787,32787,8.65,8.65,234354,492648,11,6.987520609,110.2153153
Goa,2019,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,Western Region,Current Price,Base Year : 2011-12,Indian rupee,423716,11976,11976,2.91,2.91,234354,492648,11,6.987520609,110.2153153
Goa,2020,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,Western Region,Current Price,Base Year : 2011-12,Indian rupee,435949,12233,12233,2.89,2.89,234354,492648,11,6.987520609,110.2153153
Goa,2021,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,Western Region,Current Price,Base Year : 2011-12,Indian rupee,423047,-12902,-12902,-2.96,-2.96,234354,492648,11,6.987520609,110.2153153
Goa,2022,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,Western Region,Current Price,Base Year : 2011-12,Indian rupee,459094,36047,36047,8.52,8.52,234354,492648,11,6.987520609,110.2153153
Goa,2023,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,Western Region,Current Price,Base Year : 2011-12,Indian rupee,492648,33554,33554,7.31,7.31,234354,492648,11,6.987520609,110.2153153
Goa,2024,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,Western Region,Current Price,Base Year : 2011-12,Indian rupee,492648,33554,33554,7.31,7.31,234354,492648,11,6.987520609,110.2153153
Meghalaya,2013,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,North Eastern Region,Current Price,Base Year : 2011-12,Indian rupee,64477,4683,4683,7.83,7.83,64477,136948,11,7.088044554,112.3982195
Meghalaya,2014,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,North Eastern Region,Current Price,Base Year : 2011-12,Indian rupee,66281,1804,1804,2.8,2.8,64477,136948,11,7.088044554,112.3982195
Meghalaya,2015,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,North Eastern Region,Current Price,Base Year : 2011-12,Indian rupee,66485,204,204,0.31,0.31,64477,136948,11,7.088044554,112.3982195
Meghalaya,2016,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,North Eastern Region,Current Price,Base Year : 2011-12,Indian rupee,71594,5109,5109,7.68,7.68,64477,136948,11,7.088044554,112.3982195
Meghalaya,2017,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,North Eastern Region,Current Price,Base Year : 2011-12,Indian rupee,77585,5991,5991,8.37,8.37,64477,136948,11,7.088044554,112.3982195
Meghalaya,2018,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,North Eastern Region,Current Price,Base Year : 2011-12,Indian rupee,82457,4872,4872,6.28,6.28,64477,136948,11,7.088044554,112.3982195
Meghalaya,2019,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,North Eastern Region,Current Price,Base Year : 2011-12,Indian rupee,88954,6497,6497,7.88,7.88,64477,136948,11,7.088044554,112.3982195
Meghalaya,2020,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,North Eastern Region,Current Price,Base Year : 2011-12,Indian rupee,95422,6468,6468,7.27,7.27,64477,136948,11,7.088044554,112.3982195
Meghalaya,2021,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,North Eastern Region,Current Price,Base Year : 2011-12,Indian rupee,90751,-4671,-4671,-4.9,-4.9,64477,136948,11,7.088044554,112.3982195
Meghalaya,2022,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,North Eastern Region,Current Price,Base Year : 2011-12,Indian rupee,107971,17220,17220,18.97,18.97,64477,136948,11,7.088044554,112.3982195
Meghalaya,2023,Per Capita Net State Domestic Product at Factor Cost-(PER_CAP_NET_SDP_RN),All India,All States,North Eastern Region,Current Price,Base Year : 2011-12,Indian rupee,123896,15925,15925,14.75,14.75,64477,136948,11,7.088044554,112.3982195
