STATE,CLASSIFICATION BASED ON SECTOR,YEAR,total_value_actuals,v_2013,v_2022,n_years,cagr,v_2023_calc
Andaman and Nicobar,PRIMARY SECTOR,2013,5155887770,5155887770,13548413618,9,0.113321394,15083738731
Andaman and Nicobar,PRIMARY SECTOR,2014,6187753200,5155887770,13548413618,9,0.113321394,15083738731
Andaman and Nicobar,PRIMARY SECTOR,2015,8292792350,5155887770,13548413618,9,0.113321394,15083738731
Andaman and Nicobar,PRIMARY SECTOR,2016,8113958510,5155887770,13548413618,9,0.113321394,15083738731
Andaman and Nicobar,PRIMARY SECTOR,2017,7954096410,5155887770,13548413618,9,0.113321394,15083738731
Andaman and Nicobar,PRIMARY SECTOR,2018,9564420250,5155887770,13548413618,9,0.113321394,15083738731
Andaman and Nicobar,PRIMARY SECTOR,2019,10238153436,5155887770,13548413618,9,0.113321394,15083738731
Andaman and Nicobar,PRIMARY SECTOR,2020,10985244892,5155887770,13548413618,9,0.113321394,15083738731
Andaman and Nicobar,PRIMARY SECTOR,2021,12127640741,5155887770,13548413618,9,0.113321394,15083738731
Andaman and Nicobar,PRIMARY SECTOR,2022,13548413618,5155887770,13548413618,9,0.113321394,15083738731
Andaman and Nicobar,PRIMARY SECTOR,2023,15083738731,5155887770,13548413618,9,0.113321394,15083738731
Andaman and Nicobar,PRIMARY SECTOR,2024,16793049026,5155887770,13548413618,9,0.113321394,15083738731
Andaman and Nicobar,SECONDARY SECTOR,2013,7347931030,7347931030,14158924446,9,0.075602216,15229370503
Andaman and Nicobar,SECONDARY SECTOR,2014,7728262670,7347931030,14158924446,9,0.075602216,15229370503
Andaman and Nicobar,SECONDARY SECTOR,2015,8522292830,7347931030,14158924446,9,0.075602216,15229370503
Andaman and Nicobar,SECONDARY SECTOR,2016,9693249570,7347931030,14158924446,9,0.075602216,15229370503
Andaman and Nicobar,SECONDARY SECTOR,2017,10513804320,7347931030,14158924446,9,0.075602216,15229370503
Andaman and Nicobar,SECONDARY SECTOR,2018,11515524750,7347931030,14158924446,9,0.075602216,15229370503
Andaman and Nicobar,SECONDARY SECTOR,2019,12131013852,7347931030,14158924446,9,0.075602216,15229370503
Andaman and Nicobar,SECONDARY SECTOR,2020,12977681087,7347931030,14158924446,9,0.075602216,15229370503
Andaman and Nicobar,SECONDARY SECTOR,2021,12277481224,7347931030,14158924446,9,0.075602216,15229370503
Andaman and Nicobar,SECONDARY SECTOR,2022,14158924446,7347931030,14158924446,9,0.075602216,15229370503
Andaman and Nicobar,SECONDARY SECTOR,2023,15229370503,7347931030,14158924446,9,0.075602216,15229370503
Andaman and Nicobar,SECONDARY SECTOR,2024,16380744655,7347931030,14158924446,9,0.075602216,15229370503
Andaman and Nicobar,TERTIARY SECTOR,2013,26237167950,26237167950,56682430553,9,0.089356848,61747393863
Andaman and Nicobar,TERTIARY SECTOR,2014,29119937990,26237167950,56682430553,9,0.089356848,61747393863
Andaman and Nicobar,TERTIARY SECTOR,2015,33055184640,26237167950,56682430553,9,0.089356848,61747393863
Andaman and Nicobar,TERTIARY SECTOR,2016,35736921240,26237167950,56682430553,9,0.089356848,61747393863
Andaman and Nicobar,TERTIARY SECTOR,2017,41594088760,26237167950,56682430553,9,0.089356848,61747393863
Andaman and Nicobar,TERTIARY SECTOR,2018,46198060400,26237167950,56682430553,9,0.089356848,61747393863
Andaman and Nicobar,TERTIARY SECTOR,2019,51593351368,26237167950,56682430553,9,0.089356848,61747393863
Andaman and Nicobar,TERTIARY SECTOR,2020,55305777855,26237167950,56682430553,9,0.089356848,61747393863
Andaman and Nicobar,TERTIARY SECTOR,2021,50894125697,26237167950,56682430553,9,0.089356848,61747393863
Andaman and Nicobar,TERTIARY SECTOR,2022,56682430553,26237167950,56682430553,9,0.089356848,61747393863
Andaman and Nicobar,TERTIARY SECTOR,2023,61747393863,26237167950,56682430553,9,0.089356848,61747393863
Andaman and Nicobar,TERTIARY SECTOR,2024,67264946328,26237167950,56682430553,9,0.089356848,61747393863
Andhra Pradesh,PRIMARY SECTOR,2013,1.1759E+12,1.1759E+12,3.91597E+12,9,0.143015514,4.35E+12
Andhra Pradesh,PRIMARY SECTOR,2014,1.31753E+12,1.1759E+12,3.91597E+12,9,0.143015514,4.35E+12
Andhra Pradesh,PRIMARY SECTOR,2015,1.50056E+12,1.1759E+12,3.91597E+12,9,0.143015514,4.35E+12
Andhra Pradesh,PRIMARY SECTOR,2016,1.76807E+12,1.1759E+12,3.91597E+12,9,0.143015514,4.35E+12
Andhra Pradesh,PRIMARY SECTOR,2017,2.14083E+12,1.1759E+12,3.91597E+12,9,0.143015514,4.35E+12
Andhra Pradesh,PRIMARY SECTOR,2018,2.64736E+12,1.1759E+12,3.91597E+12,9,0.143015514,4.35E+12
Andhra Pradesh,PRIMARY SECTOR,2019,2.82403E+12,1.1759E+12,3.91597E+12,9,0.143015514,4.35E+12
Andhra Pradesh,PRIMARY SECTOR,2020,3.12632E+12,1.1759E+12,3.91597E+12,9,0.143015514,4.35E+12
Andhra Pradesh,PRIMARY SECTOR,2021,3.36727E+12,1.1759E+12,3.91597E+12,9,0.143015514,4.35E+12
